slug,category,prompt,expected,s3url,numNodes,numLinks
agpoc-a00-hj328,A,The capital of France is,paris,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a00-hj328-1781093756904.json,1088,54382
agpoc-a01-hj328,A,The capital of Japan is,tokyo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a01-hj328-1781093771691.json,1048,48109
agpoc-a02-hj328,A,The capital of Italy is,rome,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a02-hj328-1781093787658.json,1059,53773
agpoc-a03-hj328,A,The capital of Germany is,berlin,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a03-hj328-1781093802274.json,1060,51563
agpoc-a04-hj328,A,The capital of Spain is,madrid,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a04-hj328-1781093816922.json,1057,52119
agpoc-a05-hj328,A,The capital of Russia is,moscow,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a05-hj328-1781093845785.json,1075,55148
agpoc-a06-hj328,A,The capital of China is,beijing,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a06-hj328-1781093859824.json,1039,48991
agpoc-a07-hj328,A,The capital of Egypt is,cairo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a07-hj328-1781093875949.json,1066,46922
agpoc-a08-hj328,A,The capital of Canada is,ottawa,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a08-hj328-1781093889719.json,1010,40568
agpoc-a09-hj328,A,The capital of Australia is,canberra,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-a09-hj328-1781093903149.json,1012,40665
